78	Achee	Murel	J		1938-05-10	70	7003000	101220	117	5	M	W	1960-07-19	1990-09-29	30	80.0	.20	11.63	13.95	20.93	24182.86	5
86	Achord	Brice	B		1948-01-26	52	5230001		305	9	M	W	1965-11-16	1992-03-01	26	80.0	.20	21.85	26.22	39.33	45451.90	5
94	Achord	Robert	J		1967-06-11	21	2110000	182119	1200	12	M	W	1988-04-19	2009-11-18	21	80.0	.16	24.33	28.22	42.34	50609.00	5
124	Achee	Winston	A		1950-03-25	50	5020001	5020	2116	12	M	W	1970-11-16	1999-06-01	28	80.0	.20	17.99	21.58	34.97	37411.14	5
132	Adams	Leola			1943-11-10	50	5020001	105470	100	1	F	B	1961-08-01	1998-06-12	36	40.0	.00	5.15	5.15	7.72	5356.00	5
140	Adams	Melvin			1959-06-30	51	5120001	170105	7201	9	M	B	1980-01-10	1991-04-01	11	121.0	.05	6.90	8.03	13.65	20100.00	5
205	Abshire	Barry	J		1964-03-21	11	1100004		700	6	M	W	1986-05-28	1990-06-28	3	80.0	.00	7.13	7.13	10.70	14831.96	5
280	Abadie	Don	E	Jr	1966-08-07	10	1040001				M	W	1988-04-16	1991-07-01	3	.0	.00	5.49	5.49	8.24	.00	5
302	Aaron	William	R		1985-08-11	5	512000	370201	2300	12	M	W	2006-01-09	2011-07-28	5	40.0	.20	39.63	47.56	71.34	41218.58	5
337	Adams	Rodney	P		1962-12-17	50	5020001	5020	3160	12	M	W	1980-12-22	2010-11-17	29	80.0	.20	27.65	33.18	54.10	57510.18	5
353	Aghayan	Masud	M		1960-10-22	70	7003000	101430	212	12	M	W	1981-11-30	1993-02-13	11	80.0	.05	17.66	18.55	27.82	36739.04	5
493	Adcock	Martha	W		1953-12-29	41	4120000		110	10	F	W	1975-11-18	1992-06-13	16	80.0	.10	9.63	10.59	15.89	20028.84	5
515	Aguillard	Gerard	D		1964-09-27	46	4610000	103208	2190	11	M	W	1986-12-20	2006-06-09	19	80.0	.14	22.50	25.65	38.47	46795.06	5
558	Adomitis	Joseph	M		1959-09-17	51	5120001	170170	7260	14	M	W	1979-04-16	2010-12-09	31	112.0	.20	22.11	26.53	39.80	64380.16	5
566	Adams	John	P		1970-02-18	10	1030001		1100	2	M	W	1988-08-01	1989-12-31	3	40.0	.00	7.13	7.13	10.70	6845.52	5
